,parent,node,branch.length,label,vesicle.x,nt.x,region.x,vesicle.y,nt.y,region.y,vesicle,nt,region,label.order
188,457,188,1.5885170248846,FC_2-1,tele,gad,ctx,tele,gad,ctx,tele,gad,ctx,169
189,550,189,0.134325531550768,PC_4-7,tele,gad,ctx,tele,gad,ctx,tele,gad,ctx,122
190,351,190,23.773410748501,ENT_4-11,dien,gad,ent,dien,gad,ent,dien,gad,ent,186
191,358,191,8.28006446727569,TH_1-4,dien,glut,thal,dien,glut,thal,dien,glut,thal,183
192,550,192,0.134325531550768,FC_1-4,tele,gad,ctx,tele,gad,ctx,tele,gad,ctx,121
193,488,193,0.959707695921817,FC_1-7,tele,gad,ctx,tele,gad,ctx,tele,gad,ctx,116
194,450,194,2.77306161570832,HC_1-19,tele,gad,hipp,tele,gad,hipp,tele,gad,hipp,105
195,380,195,1.77706362166202,STR_12-1,tele,gad,str,tele,gad,str,tele,gad,str,49
196,390,196,7.92623682176427,SN_3-5,bs,gad,bs,bs,gad,bs,bs,gad,bs,173
197,492,197,0.19003983777931,FC_1-9,tele,gad,ctx,tele,gad,ctx,tele,gad,ctx,112
198,465,198,1.50597355059134,HC_1-8,tele,gad,hipp,tele,gad,hipp,tele,gad,hipp,145
199,422,199,1.49849148720086,HC_1-2,tele,gad,hipp,tele,gad,hipp,tele,gad,hipp,138
200,493,200,0.285785377620007,PC_4-5,tele,gad,ctx,tele,gad,ctx,tele,gad,ctx,111
201,423,201,3.00635621223606,FC_1-8,tele,gad,ctx,tele,gad,ctx,tele,gad,ctx,134
202,493,202,0.285785377620007,FC_1-11,tele,gad,ctx,tele,gad,ctx,tele,gad,ctx,110
203,501,203,0.421907933511088,HC_1-26,tele,gad,hipp,tele,gad,hipp,tele,gad,hipp,102
204,564,204,0.210876329829837,HC_1-24,tele,gad,hipp,tele,gad,hipp,tele,gad,hipp,106
205,391,205,2.57516164050285,TH_1-1,dien,glut,thal,dien,glut,thal,dien,glut,thal,182
206,479,206,0.714252353255395,HC_1-22,tele,gad,hipp,tele,gad,hipp,tele,gad,hipp,108
207,383,207,0.542394127942748,TH_3-5,dien,gad,thal,dien,gad,thal,dien,gad,thal,175
208,501,208,0.421907933511088,HC_1-27,tele,gad,hipp,tele,gad,hipp,tele,gad,hipp,101
209,408,209,1.77235159122118,GP_2-11,dien,glut,gp,dien,glut,gp,dien,glut,gp,77
210,570,210,0.36650163358746,FC_2-3,tele,gad,ctx,tele,gad,ctx,tele,gad,ctx,159
211,484,211,0.315617991019808,CB_3-2,hind,gad,cbm,hind,gad,cbm,hind,gad,cbm,188
212,400,212,6.2007041565004,PC_5-4,tele,gad,ctx,tele,gad,ctx,tele,gad,ctx,155
213,569,213,0.284806228853623,FC_2-5,tele,gad,ctx,tele,gad,ctx,tele,gad,ctx,161
214,521,214,0.504533403460166,HC_1-13,tele,gad,hipp,tele,gad,hipp,tele,gad,hipp,137
215,431,215,2.342381685455,CB_3-3,hind,gad,cbm,hind,gad,cbm,hind,gad,cbm,189
216,473,216,0.82921164987331,SN_3-9,bs,glut,bs,bs,glut,bs,bs,glut,bs,38
217,387,217,7.01515851859345,PC_5-1,tele,gad,ctx,tele,gad,ctx,tele,gad,ctx,156
218,363,218,9.9153541734744,GP_2-22,dien,gad,gp,dien,gad,gp,dien,gad,gp,140
219,556,219,0.0941688411633333,FC_2-4,tele,gad,ctx,tele,gad,ctx,tele,gad,ctx,163
220,449,220,2.51515559692913,HC_1-25,tele,gad,hipp,tele,gad,hipp,tele,gad,hipp,109
221,533,221,0.588008260615757,HC_1-10,tele,gad,hipp,tele,gad,hipp,tele,gad,hipp,143
222,496,222,1.07439478242879,TH_3-7,dien,both,thal,dien,both,thal,dien,both,thal,6
223,545,223,0.20019585233062,FC_1-10,tele,gad,ctx,tele,gad,ctx,tele,gad,ctx,115
224,483,224,1.88328759806303,SN_2-1,bs,glut,bs,bs,glut,bs,bs,glut,bs,95
225,545,225,0.20019585233062,PC_4-4,tele,gad,ctx,tele,gad,ctx,tele,gad,ctx,114
226,464,226,0.629595311904961,HC_1-1,tele,gad,hipp,tele,gad,hipp,tele,gad,hipp,147
227,556,227,0.0941688411633333,PC_5-5,tele,gad,ctx,tele,gad,ctx,tele,gad,ctx,162
228,362,228,6.37697444870113,CB_4-2,hind,gad,cbm,hind,gad,cbm,hind,gad,cbm,191
229,409,229,4.96153950048365,CB_3-4,hind,gad,cbm,hind,gad,cbm,hind,gad,cbm,190
230,574,230,0.424023132060614,FC_2-10,tele,gad,ctx,tele,gad,ctx,tele,gad,ctx,149
231,569,231,0.284806228853623,HC_1-9,tele,gad,hipp,tele,gad,hipp,tele,gad,hipp,160
232,595,232,0.135403218170378,GP_2-4,dien,gad,gp,dien,gad,gp,dien,gad,gp,35
233,457,233,1.5885170248846,GP_2-5,dien,gad,gp,dien,gad,gp,dien,gad,gp,168
234,464,234,0.629595311904961,FC_2-6,tele,gad,ctx,tele,gad,ctx,tele,gad,ctx,146
235,425,235,2.26692010235542,PC_5-7,tele,gad,ctx,tele,gad,ctx,tele,gad,ctx,164
236,355,236,19.3761846795576,ENT_4-10,dien,gad,ent,dien,gad,ent,dien,gad,ent,69
237,338,237,3.41748652992354,TH_2-9,dien,glut,thal,dien,glut,thal,dien,glut,thal,100
238,600,238,0.120939961254392,FC_2-2,tele,gad,ctx,tele,gad,ctx,tele,gad,ctx,158
239,633,239,0.0726246719246908,TH_2-3,dien,glut,thal,dien,glut,thal,dien,glut,thal,90
240,593,240,0.169115720000428,TH_2-1,dien,glut,thal,dien,glut,thal,dien,glut,thal,91
241,578,241,0.294497160588639,HC_1-4,tele,gad,hipp,tele,gad,hipp,tele,gad,hipp,142
242,502,242,0.223238352727459,TH_3-2,dien,gad,thal,dien,gad,thal,dien,gad,thal,27
243,600,243,0.120939961254392,PC_5-6,tele,gad,ctx,tele,gad,ctx,tele,gad,ctx,157
244,574,244,0.424023132060614,HC_1-6,tele,gad,hipp,tele,gad,hipp,tele,gad,hipp,148
245,473,245,0.82921164987331,SN_3-11,bs,glut,bs,bs,glut,bs,bs,glut,bs,37
246,623,246,0.127977447576587,TH_2-10,dien,glut,thal,dien,glut,thal,dien,glut,thal,97
247,484,247,0.315617991019808,CB_3-1,hind,gad,cbm,hind,gad,cbm,hind,gad,cbm,187
248,386,248,5.67662752517846,HC_1-3,tele,gad,hipp,tele,gad,hipp,tele,gad,hipp,165
249,622,249,0.110977686420964,TH_2-11,dien,glut,thal,dien,glut,thal,dien,glut,thal,99
250,624,250,0.0945966946153805,FC_2-7,tele,gad,ctx,tele,gad,ctx,tele,gad,ctx,153
251,357,251,3.82956618954956,SN_4-2,bs,th,bs,bs,th,bs,bs,th,bs,66
252,502,252,0.223238352727459,ENT_4-2,dien,gad,ent,dien,gad,ent,dien,gad,ent,26
253,414,253,3.58645552077189,SN_3-4,bs,gad,bs,bs,gad,bs,bs,gad,bs,23
254,573,254,0.168036883891443,FC_2-9,tele,gad,ctx,tele,gad,ctx,tele,gad,ctx,151
255,467,255,0.471320884887111,TH_3-4,dien,glut,thal,dien,glut,thal,dien,glut,thal,15
256,575,256,0.473807136160636,TH_2-4,dien,glut,thal,dien,glut,thal,dien,glut,thal,92
257,573,257,0.168036883891443,PC_5-3,tele,gad,ctx,tele,gad,ctx,tele,gad,ctx,150
258,595,258,0.135403218170378,GP_2-3,dien,gad,gp,dien,gad,gp,dien,gad,gp,34
259,355,259,19.3761846795576,ENT_4-12,dien,gad,ent,dien,gad,ent,dien,gad,ent,68
260,414,260,3.58645552077189,ENT_4-5,dien,gad,ent,dien,gad,ent,dien,gad,ent,22
261,504,261,0.456682180277925,GP_2-2,dien,glut,gp,dien,glut,gp,dien,glut,gp,36
262,633,262,0.0726246719246908,TH_2-2,dien,glut,thal,dien,glut,thal,dien,glut,thal,89
263,622,263,0.110977686420964,TH_2-8,dien,glut,thal,dien,glut,thal,dien,glut,thal,98
264,517,264,0.628412925994571,TH_2-7,dien,glut,thal,dien,glut,thal,dien,glut,thal,93
265,578,265,0.294497160588639,HC_1-5,tele,gad,hipp,tele,gad,hipp,tele,gad,hipp,141
266,623,266,0.127977447576587,TH_2-6,dien,glut,thal,dien,glut,thal,dien,glut,thal,96
267,356,267,21.1440836769133,SN_4-6,bs,th,bs,bs,th,bs,bs,th,bs,67
268,520,268,1.01148629761535,HC_1-7,tele,gad,hipp,tele,gad,hipp,tele,gad,hipp,144
269,543,269,0.225673963071171,FC_2-8,tele,gad,ctx,tele,gad,ctx,tele,gad,ctx,154
270,624,270,0.0945966946153805,PC_5-2,tele,gad,ctx,tele,gad,ctx,tele,gad,ctx,152
271,566,271,0.547322077196391,GP_2-19,dien,gad,gp,dien,gad,gp,dien,gad,gp,9
272,546,272,0.278570919880548,SN_4-3,bs,th,bs,bs,th,bs,bs,th,bs,64
273,447,273,3.50498720215637,SN_3-8,bs,gad,bs,bs,gad,bs,bs,gad,bs,16
274,558,274,0.203150287313003,ENT_4-4,dien,gad,ent,dien,gad,ent,dien,gad,ent,3
275,546,275,0.278570919880548,SN_4-1,bs,glut,bs,bs,glut,bs,bs,glut,bs,63
276,559,276,0.241733997780081,SN_3-7,bs,both,bs,bs,both,bs,bs,both,bs,5
277,491,277,0.875609283490631,TH_3-9,dien,glut,thal,dien,glut,thal,dien,glut,thal,20
278,555,278,0.502632988982381,TH_3-6,dien,gad,thal,dien,gad,thal,dien,gad,thal,19
279,452,279,0.495144295412846,GP_2-25,dien,gad,gp,dien,gad,gp,dien,gad,gp,45
280,505,280,0.92842341888097,GP_2-21,dien,gad,gp,dien,gad,gp,dien,gad,gp,33
281,506,281,0.663594829101739,GP_1-2,dien,gad,gp,dien,gad,gp,dien,gad,gp,48
282,394,282,6.59531923772059,GP_2-10,dien,gad,gp,dien,gad,gp,dien,gad,gp,79
283,448,283,2.28828684192379,SN_4-4,bs,th,bs,bs,th,bs,bs,th,bs,65
284,565,284,0.445181678734388,SN_3-1,bs,gad,bs,bs,gad,bs,bs,gad,bs,12
285,421,285,4.17479696166906,GP_2-23,dien,gad,gp,dien,gad,gp,dien,gad,gp,46
286,559,286,0.241733997780081,SN_3-6,bs,glut,bs,bs,glut,bs,bs,glut,bs,4
287,626,287,0.17737670371643,SN_3-10,bs,glut,bs,bs,glut,bs,bs,glut,bs,2
288,506,288,0.663594829101739,GP_1-1,dien,gad,gp,dien,gad,gp,dien,gad,gp,47
289,494,289,1.5533955744136,TH_2-5,dien,glut,thal,dien,glut,thal,dien,glut,thal,94
290,605,290,0.259215021944934,GP_2-9,dien,glut,gp,dien,glut,gp,dien,glut,gp,29
291,576,291,0.260078727162013,GP_2-6,dien,gad,gp,dien,gad,gp,dien,gad,gp,32
292,452,292,0.495144295412846,GP_2-24,dien,gad,gp,dien,gad,gp,dien,gad,gp,44
293,626,293,0.17737670371643,SN_3-3,bs,gad,bs,bs,gad,bs,bs,gad,bs,1
294,637,294,0.100313041673161,SN_4-8,bs,th,bs,bs,th,bs,bs,th,bs,60
295,503,295,0.716240076213805,GP_2-20,dien,gad,gp,dien,gad,gp,dien,gad,gp,25
296,590,296,0.222110593713676,TH_3-10,dien,glut,thal,dien,glut,thal,dien,glut,thal,18
297,637,297,0.100313041673161,SN_4-9,bs,th,bs,bs,th,bs,bs,th,bs,59
298,590,298,0.222110593713676,TH_3-8,dien,gad,thal,dien,gad,thal,dien,gad,thal,17
299,467,299,0.471320884887111,ENT_4-6,dien,glut,ent,dien,glut,ent,dien,glut,ent,14
300,596,300,0.293318873545548,SN_3-14,bs,gad,bs,bs,gad,bs,bs,gad,bs,11
301,613,301,0.139259209762912,SN_4-5,bs,th,bs,bs,th,bs,bs,th,bs,61
302,596,302,0.293318873545548,SN_3-12,bs,glut,bs,bs,glut,bs,bs,glut,bs,10
303,547,303,0.283895726435053,SN_4-7,bs,th,bs,bs,th,bs,bs,th,bs,62
304,582,304,0.130905664072095,TH_3-3,dien,gad,thal,dien,gad,thal,dien,gad,thal,8
305,468,305,2.94741488731916,ENT_4-3,dien,gad,ent,dien,gad,ent,dien,gad,ent,13
306,605,306,0.259215021944934,GP_2-8,dien,glut,gp,dien,glut,gp,dien,glut,gp,28
307,582,307,0.130905664072095,ENT_4-7,dien,gad,ent,dien,gad,ent,dien,gad,ent,7
308,577,308,0.351421739051204,GP_2-7,dien,both,gp,dien,both,gp,dien,both,gp,30
309,553,309,0.274014489154672,GP_2-13,dien,gad,gp,dien,gad,gp,dien,gad,gp,43
310,538,310,0.518412533773339,SN_3-15,bs,glut,bs,bs,glut,bs,bs,glut,bs,52
311,486,311,1.55994898629046,ENT_4-8,dien,gad,ent,dien,gad,ent,dien,gad,ent,55
312,554,312,0.39759237481961,GP_2-18,dien,gad,gp,dien,gad,gp,dien,gad,gp,41
313,446,313,2.01289177261247,TH_3-11,dien,gad,thal,dien,gad,thal,dien,gad,thal,21
314,585,314,0.122336018451532,SN_3-13,bs,gad,bs,bs,gad,bs,bs,gad,bs,51
315,553,315,0.274014489154672,GP_2-17,dien,gad,gp,dien,gad,gp,dien,gad,gp,42
316,576,316,0.260078727162013,GP_2-15,dien,gad,gp,dien,gad,gp,dien,gad,gp,31
317,472,317,2.2867350890366,SN_3-19,bs,gad,bs,bs,gad,bs,bs,gad,bs,56
318,585,318,0.122336018451532,SN_3-18,bs,gad,bs,bs,gad,bs,bs,gad,bs,50
319,554,319,0.39759237481961,GP_2-16,dien,gad,gp,dien,gad,gp,dien,gad,gp,40
320,503,320,0.716240076213805,TH_3-1,dien,gad,thal,dien,gad,thal,dien,gad,thal,24
321,365,321,3.70731698800424,ENT_4-9,dien,gad,ent,dien,gad,ent,dien,gad,ent,58
322,539,322,0.810529875330226,SN_3-16,bs,gad,bs,bs,gad,bs,bs,gad,bs,54
323,539,323,0.810529875330226,GP_2-14,dien,gad,gp,dien,gad,gp,dien,gad,gp,53
324,454,324,2.89575202240905,SN_3-17,bs,gad,bs,bs,gad,bs,bs,gad,bs,57
325,325,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
326,325,326,82.3694651018828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
327,325,327,70.3874212647341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,327,328,42.6872152477787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
329,327,329,32.2578408085667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
330,326,330,43.0488729547996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
331,326,331,21.4625651261085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
332,329,332,20.1087356291535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
333,329,333,15.6566364453743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,331,334,46.350922790105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
335,331,335,10.9645418563529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,328,336,19.253951868011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,328,337,14.9128638634185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,333,338,35.4423153800644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
339,333,339,13.7026995629306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,332,340,20.2452946050118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
341,332,341,12.5466216355465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
342,330,342,18.0982989733549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
343,330,343,2.17103679462452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
344,343,344,18.098084534445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
345,343,345,11.5342017006171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
346,337,346,19.5064239679044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
347,337,347,12.9257182488761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
348,339,348,19.5471896643221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,339,349,17.5326939551083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
350,336,350,8.25779745236229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
351,336,351,1.0597012996383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
352,351,352,1.28154874316356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
353,352,353,3.69508750783999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
354,352,354,2.22276486553198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
355,341,355,2.48489641110461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
356,341,356,0.716997413748974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
357,356,357,17.3145174873637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
358,353,358,10.5167100302218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
359,353,359,4.70219783912353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
360,345,360,8.19948021727581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
361,345,361,7.11006148462688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
362,350,362,10.1983401470759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
363,347,363,6.33312763038126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
364,347,364,5.61893535420175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
365,340,365,10.4550911331928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
366,340,366,3.44772126591492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
367,359,367,6.56031186504645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
368,359,368,4.19398595127745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
369,342,369,7.28682079248158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
370,342,370,6.87700881530999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,344,371,9.82313212147112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
372,344,372,0.693067063922749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
373,361,373,6.489837891542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
374,361,374,4.17239441423166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
375,372,375,1.56209092548691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,366,376,4.00071299862505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
377,366,377,0.70224638825486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
378,364,378,5.36334946206305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
379,364,379,3.06211911839591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,377,380,8.23537684536519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
381,377,381,4.24776479509191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
382,363,382,1.95023308016236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
383,368,383,9.35819657915371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
384,368,384,1.34047576798685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
385,360,385,4.12477520895567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
386,346,386,3.99114855964894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
387,346,387,2.65261756623394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
388,375,388,2.1294183397076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
389,384,389,2.38530963490246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
390,384,390,0.633878117345335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
391,358,391,5.70490282677284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
392,382,392,2.22539518799651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
393,349,393,3.03948611861863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
394,349,394,1.02908915422846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
395,379,395,5.36967111951044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
396,379,396,3.76079186227823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
397,367,397,1.6265981857968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
398,388,398,6.05452462964011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
399,388,399,0.748853341517736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,387,400,0.814454362093048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
